table_name,source_row_number,reason_code,reason_detail,payload,run_id
db_rotas,633,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 640, ""uf"": ""DF"", ""nome"": ""BRA07-AsaNorte3-DF"", ""rota"": ""ROTA 217-LOJA NOVA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 633}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,644,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 651, ""uf"": ""MG"", ""nome"": ""BHO12-Guaicui-MG"", ""rota"": ""ROTA 502 - MINAS GERAIS 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 644}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,654,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 661, ""uf"": ""MG"", ""nome"": ""MUR01-Muriae-MG"", ""rota"": ""ROTA 507 - MINAS GERAIS 07"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 654}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,714,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 722, ""uf"": ""SP"", ""nome"": ""AME02-PascoalArdi-SP"", ""rota"": ""ROTA 205-PARANA-PR"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 714}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,722,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 730, ""uf"": ""RS"", ""nome"": ""CAS02-Caxias Sul-RS"", ""rota"": ""ROTA 213-DISTRITO FEDERAL-DF"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 722}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,727,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 735, ""uf"": ""PB"", ""nome"": ""JPE19-Anatolia-PB#"", ""rota"": ""ROTA 021-TERESINA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 727}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,737,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 745, ""uf"": ""SP"", ""nome"": ""VOT01-Votuporanga-SP"", ""rota"": ""ROTA 201-MILH\u00c3O"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 737}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,738,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 746, ""uf"": ""GO"", ""nome"": ""FMS01-Formosa 1-GO"", ""rota"": ""ROTA 217-LOJA NOVA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 738}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,741,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 749, ""uf"": ""ES"", ""nome"": ""VIL06-PraiaCosta2-ES"", ""rota"": ""ROTA 213-DISTRITO FEDERAL-DF"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 741}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,744,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 752, ""uf"": ""MG"", ""nome"": ""BHO13-AugustoLima-MG"", ""rota"": ""ROTA 502 - MINAS GERAIS 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 744}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
